bounds: -0.04169696569442749 -0.04169696569442749
bounds: -0.041696906089782715 -0.08202290534973145
bounds: -0.04094874858856201 -0.04740196466445923
bounds: -0.040290772914886475 -0.02919389307498932
bounds: -0.03971511125564575 -0.020417630672454834
bounds: -0.03925585746765137 -0.010201126337051392
bounds: -0.038935065269470215 -0.007918179035186768
bounds: -0.03889954090118408 -0.008749321103096008
bounds: -0.03889429569244385 -0.0081472247838974
bounds: -0.038876891136169434 -0.007295206189155579
bounds: -0.038857340812683105 -0.006588771939277649
bounds: -0.03884798288345337 -0.00567568838596344
bounds: -0.0388416051864624 -0.00473138689994812
bounds: -0.03883945941925049 -0.003787890076637268
bounds: -0.03883928060531616 -0.0028265267610549927
bounds: -0.03883928060531616 -0.0018792003393173218
bounds: -0.03883880376815796 -0.0010742247104644775
bounds: -0.03883838653564453 -0.0004567354917526245
bounds: -0.038837730884552 1.0117888450622559e-05
bounds: -0.03883695602416992 0.0002932250499725342
bounds: -0.038836002349853516 0.00048448145389556885
lp_bound: -0.01668143962490303 0.0011526424163071439
lp_time: 1.6713554859161377 4.546039581298828
